0:0:0:0:0:0:0:1 - - [25/Dec/2019:20:02:22 +0800] "GET /cas/webjars/font-awesome/4.7.0/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [25/Dec/2019:20:02:22 +0800] "GET /cas/webjars/lato/0.3.0/font/lato-light/lato-light.woff2 HTTP/1.1" 200 29456
0:0:0:0:0:0:0:1 - - [25/Dec/2019:20:02:25 +0800] "POST /cas/login?service=http%3A%2F%2Flocalhost%3A8081%2Fhello HTTP/1.1" 401 13070
0:0:0:0:0:0:0:1 - - [25/Dec/2019:20:02:26 +0800] "GET /cas/webjars/lato/0.3.0/font/lato-light/lato-light.woff2 HTTP/1.1" 200 29456
0:0:0:0:0:0:0:1 - - [25/Dec/2019:20:02:26 +0800] "GET /cas/webjars/font-awesome/4.7.0/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [25/Dec/2019:20:03:50 +0800] "POST /cas/login?service=http%3A%2F%2Flocalhost%3A8081%2Fhello HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:20:03:50 +0800] "GET /cas/login?service=http%3A%2F%2Flocalhost%3A8081%2Fhello HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:20:03:50 +0800] "GET /cas/login?service=http%3A%2F%2Flocalhost%3A8081%2Fhello HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:20:03:50 +0800] "GET /cas/login?service=http%3A%2F%2Flocalhost%3A8081%2Fhello HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:20:03:50 +0800] "GET /cas/login?service=http%3A%2F%2Flocalhost%3A8081%2Fhello HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:20:03:50 +0800] "GET /cas/login?service=http%3A%2F%2Flocalhost%3A8081%2Fhello HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:20:03:50 +0800] "GET /cas/login?service=http%3A%2F%2Flocalhost%3A8081%2Fhello HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:20:03:50 +0800] "GET /cas/login?service=http%3A%2F%2Flocalhost%3A8081%2Fhello HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:20:03:50 +0800] "GET /cas/login?service=http%3A%2F%2Flocalhost%3A8081%2Fhello HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:20:03:50 +0800] "GET /cas/login?service=http%3A%2F%2Flocalhost%3A8081%2Fhello HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:20:04:05 +0800] "GET /cas/login?service=http%3A%2F%2Flocalhost%3A8081%2Fhello HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:20:04:05 +0800] "GET /cas/login?service=http%3A%2F%2Flocalhost%3A8081%2Fhello HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:20:04:05 +0800] "GET /cas/login?service=http%3A%2F%2Flocalhost%3A8081%2Fhello HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:20:04:05 +0800] "GET /cas/login?service=http%3A%2F%2Flocalhost%3A8081%2Fhello HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:20:04:05 +0800] "GET /cas/login?service=http%3A%2F%2Flocalhost%3A8081%2Fhello HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:20:04:05 +0800] "GET /cas/login?service=http%3A%2F%2Flocalhost%3A8081%2Fhello HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:20:04:05 +0800] "GET /cas/login?service=http%3A%2F%2Flocalhost%3A8081%2Fhello HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:20:04:05 +0800] "GET /cas/login?service=http%3A%2F%2Flocalhost%3A8081%2Fhello HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:20:04:05 +0800] "GET /cas/login?service=http%3A%2F%2Flocalhost%3A8081%2Fhello HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:20:04:05 +0800] "GET /cas/login?service=http%3A%2F%2Flocalhost%3A8081%2Fhello HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:20:04:06 +0800] "GET /cas/login?service=http%3A%2F%2Flocalhost%3A8081%2Fhello HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:20:04:06 +0800] "GET /cas/login?service=http%3A%2F%2Flocalhost%3A8081%2Fhello HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:20:04:06 +0800] "GET /cas/login?service=http%3A%2F%2Flocalhost%3A8081%2Fhello HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:20:04:06 +0800] "GET /cas/login?service=http%3A%2F%2Flocalhost%3A8081%2Fhello HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:20:04:06 +0800] "GET /cas/login?service=http%3A%2F%2Flocalhost%3A8081%2Fhello HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:20:04:06 +0800] "GET /cas/login?service=http%3A%2F%2Flocalhost%3A8081%2Fhello HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:20:04:06 +0800] "GET /cas/login?service=http%3A%2F%2Flocalhost%3A8081%2Fhello HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:20:04:06 +0800] "GET /cas/login?service=http%3A%2F%2Flocalhost%3A8081%2Fhello HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:20:04:06 +0800] "GET /cas/login?service=http%3A%2F%2Flocalhost%3A8081%2Fhello HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:20:04:06 +0800] "GET /cas/login?service=http%3A%2F%2Flocalhost%3A8081%2Fhello HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:20:04:06 +0800] "GET /cas/login?service=http%3A%2F%2Flocalhost%3A8081%2Fhello HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:20:04:06 +0800] "GET /cas/login?service=http%3A%2F%2Flocalhost%3A8081%2Fhello HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:20:04:06 +0800] "GET /cas/login?service=http%3A%2F%2Flocalhost%3A8081%2Fhello HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:20:04:06 +0800] "GET /cas/login?service=http%3A%2F%2Flocalhost%3A8081%2Fhello HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:20:04:07 +0800] "GET /cas/login?service=http%3A%2F%2Flocalhost%3A8081%2Fhello HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:20:04:07 +0800] "GET /cas/login?service=http%3A%2F%2Flocalhost%3A8081%2Fhello HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:20:04:07 +0800] "GET /cas/login?service=http%3A%2F%2Flocalhost%3A8081%2Fhello HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:20:04:07 +0800] "GET /cas/login?service=http%3A%2F%2Flocalhost%3A8081%2Fhello HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:20:04:07 +0800] "GET /cas/login?service=http%3A%2F%2Flocalhost%3A8081%2Fhello HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:20:04:07 +0800] "GET /cas/login?service=http%3A%2F%2Flocalhost%3A8081%2Fhello HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:20:04:12 +0800] "GET /cas/login?service=http%3A%2F%2Flocalhost%3A8081%2Fhello HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:20:04:12 +0800] "GET /cas/login?service=http%3A%2F%2Flocalhost%3A8081%2Fhello HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:20:04:12 +0800] "GET /cas/login?service=http%3A%2F%2Flocalhost%3A8081%2Fhello HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:20:04:12 +0800] "GET /cas/login?service=http%3A%2F%2Flocalhost%3A8081%2Fhello HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:20:04:12 +0800] "GET /cas/login?service=http%3A%2F%2Flocalhost%3A8081%2Fhello HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:20:04:12 +0800] "GET /cas/login?service=http%3A%2F%2Flocalhost%3A8081%2Fhello HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:20:04:12 +0800] "GET /cas/login?service=http%3A%2F%2Flocalhost%3A8081%2Fhello HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:20:04:12 +0800] "GET /cas/login?service=http%3A%2F%2Flocalhost%3A8081%2Fhello HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:20:04:12 +0800] "GET /cas/login?service=http%3A%2F%2Flocalhost%3A8081%2Fhello HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:20:04:12 +0800] "GET /cas/login?service=http%3A%2F%2Flocalhost%3A8081%2Fhello HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:20:04:38 +0800] "GET /cas/login HTTP/1.1" 200 4883
0:0:0:0:0:0:0:1 - - [25/Dec/2019:20:04:39 +0800] "GET /cas/webjars/font-awesome/4.7.0/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [25/Dec/2019:20:04:48 +0800] "GET /cas/logout HTTP/1.1" 200 3593
0:0:0:0:0:0:0:1 - - [25/Dec/2019:20:05:15 +0800] "GET /cas/login?service=http%3A%2F%2Flocalhost%3A8081%2Fhello HTTP/1.1" 200 12873
0:0:0:0:0:0:0:1 - - [25/Dec/2019:20:05:16 +0800] "GET /cas/webjars/font-awesome/4.7.0/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [25/Dec/2019:20:05:16 +0800] "GET /cas/webjars/lato/0.3.0/font/lato-light/lato-light.woff2 HTTP/1.1" 200 29456
0:0:0:0:0:0:0:1 - - [25/Dec/2019:20:05:26 +0800] "POST /cas/login?service=http%3A%2F%2Flocalhost%3A8081%2Fhello HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:20:05:26 +0800] "GET /cas/login?service=http%3A%2F%2Flocalhost%3A8081%2Fhello HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:20:05:26 +0800] "GET /cas/login?service=http%3A%2F%2Flocalhost%3A8081%2Fhello HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:20:05:26 +0800] "GET /cas/login?service=http%3A%2F%2Flocalhost%3A8081%2Fhello HTTP/1.1" 302 -
